Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Shazam Counts
98.0,1062095453.0,165197.0,75503476.0,72.0,3281325.0,1174669.0,331324816.0,3501946982.0,3618055498.0,156.0,830038.0,2344.0,83.0,2949606.0,46.0,5957065.0
97.6,503574147.0,79679.0,43648353.0,75.0,902237.0,20078.0,8878995.0,134469226.0,476594485.0,94.0,369794.0,678.0,35.0,564291.0,45.0,2334089.0
97.5,1486929795.0,266128.0,52476635.0,76.0,4719266.0,618523.0,58332458.0,523849646.0,34010447.0,147.0,52910.0,581.0,48.0,263627.0,13.0,4911610.0
95.7,3291262413.0,366133.0,98022646.0,84.0,14968547.0,262780.0,52707882.0,375498232.0,218584786.0,341.0,68441.0,148.0,118.0,875683.0,67.0,15648166.0
95.7,2089476497.0,179545.0,89286647.0,78.0,22464625.0,2463600.0,48687438.0,376376728.0,1959373484.0,401.0,237066.0,402.0,161.0,1631997.0,85.0,9657077.0
95.7,777064903.0,213153.0,29437172.0,71.0,5431785.0,1378861.0,181697356.0,1411545704.0,326289844.0,118.0,147120.0,117.0,33.0,263058.0,33.0,4012749.0
94.5,682837690.0,155771.0,28629209.0,80.0,1853827.0,41044.0,23532424.0,185584934.0,201674659.0,56.0,2067.0,48.0,4.0,5523.0,12.0,3246804.0
94.3,347647880.0,106908.0,29964622.0,74.0,405870.0,19100.0,6796886.0,53065653.0,174680696.0,57.0,53527.0,13.0,23.0,327684.0,49.0,861189.0
94.1,1108031580.0,121256.0,44739826.0,77.0,4700638.0,222100.0,106783326.0,940630746.0,719730500.0,104.0,74052.0,113.0,30.0,7198424.0,58.0,1644044.0
93.1,701558859.0,110539.0,46729655.0,74.0,2284142.0,594413.0,173483893.0,1114531877.0,31989285.0,67.0,15726.0,126.0,43.0,1632541.0,44.0,3204314.0
91.4,1070422470.0,294539.0,47391658.0,72.0,7522969.0,1447194.0,119978916.0,1077344517.0,3659504.0,132.0,82158.0,53.0,38.0,316666.0,11.0,4711998.0
90.5,2218531106.0,263801.0,60437070.0,75.0,26301389.0,1295895.0,58018849.0,435340082.0,178579824.0,77.0,21340.0,107.0,45.0,409497.0,17.0,3798652.0
90.5,598006591.0,35842.0,34735524.0,80.0,1480134.0,916093.0,96228889.0,1108602382.0,384774756.0,32.0,26180.0,172.0,25.0,9487462.0,25.0,2336296.0
88.6,775664145.0,213464.0,28998615.0,61.0,8889460.0,2403279.0,506491179.0,4864435271.0,144018344.0,158.0,1644.0,533.0,31.0,74337.0,15.0,6422051.0
88.4,547471596.0,48103.0,22977059.0,77.0,2705714.0,1201620.0,210186679.0,1998080214.0,776229988.0,56.0,23381.0,258.0,22.0,671053.0,58.0,528849.0
87.7,462284590.0,31617.0,36745154.0,84.0,325395.0,911100.0,169601790.0,1947539058.0,184602581.0,41.0,13786.0,721.0,46.0,7896597.0,39.0,1075943.0
86.8,1355971796.0,198992.0,52412236.0,77.0,8156272.0,501905.0,79556873.0,532109309.0,51588391.0,99.0,26259.0,154.0,32.0,958518.0,25.0,2972685.0
86.8,1136504636.0,152157.0,60605828.0,81.0,2307573.0,515601.0,215294962.0,1306972284.0,89389771.0,65.0,8306.0,43.0,25.0,426502.0,15.0,1892741.0
86.6,1528107667.0,170648.0,55710071.0,73.0,16180445.0,2416274.0,61034077.0,595697842.0,1722812433.0,188.0,174095.0,83.0,151.0,643408.0,38.0,23696980.0
86.3,647201484.0,81393.0,46208549.0,74.0,1524559.0,946380.0,131649631.0,1792090770.0,28857204.0,117.0,106591.0,277.0,80.0,4935799.0,65.0,1589528.0
85.8,785016247.0,210669.0,32702397.0,70.0,5578060.0,1826673.0,141952709.0,976662212.0,56134858.0,100.0,41.0,25.0,8.0,33088.0,4.0,3516050.0
85.3,1984802459.0,246374.0,81736432.0,75.0,11063672.0,955053.0,99916455.0,811673866.0,172345162.0,143.0,32009.0,57.0,41.0,337255.0,26.0,5233589.0
84.7,53825007.0,14742.0,9204769.0,59.0,607267.0,88131.0,6358930.0,89022964.0,250252884.0,22.0,343553.0,33.0,7.0,543853.0,34.0,1896814.0
84.6,273023490.0,17900.0,169190514.0,87.0,303426.0,744600.0,187163600.0,2850135008.0,448423212.0,99.0,83189.0,449.0,48.0,1283979.0,130.0,1521087.0
84.6,337858357.0,96709.0,21646810.0,69.0,336819.0,106645.0,21329637.0,192701225.0,235007162.0,89.0,119741.0,162.0,15.0,535329.0,13.0,1383076.0
84.6,390182196.0,36912.0,13688250.0,74.0,1103093.0,1096644.0,84875226.0,1391833232.0,51539597.0,44.0,20963.0,71.0,16.0,2197720.0,38.0,964306.0
84.1,90383224.0,24868.0,4716437.0,45.0,627377.0,16892400.0,462872272.0,4082175492.0,1067.0,20.0,470.0,423.0,6.0,22115.0,3.0,759001.0
83.8,890752779.0,104690.0,38444734.0,79.0,1678946.0,621.0,47472.0,5807175.0,2854434834.0,149.0,849471.0,491.0,65.0,1743336.0,9.0,2488830.0
83.1,911797058.0,80109.0,53928265.0,74.0,4924401.0,1741513.0,267846050.0,3410691967.0,36403252.0,125.0,165243.0,430.0,59.0,3772475.0,83.0,3561445.0
83.0,1020452066.0,169696.0,52678003.0,73.0,4710732.0,796783.0,391999548.0,3320885451.0,3540186470.0,75.0,269792.0,1886.0,30.0,897931.0,42.0,11693340.0
82.6,965865213.0,113676.0,169323128.0,86.0,659870.0,82855.0,29406696.0,275016537.0,315685769.0,148.0,319240.0,577.0,85.0,16767304.0,103.0,3365903.0
82.4,410722289.0,130203.0,16877163.0,68.0,1906835.0,260214.0,93902403.0,1049244970.0,306416991.0,203.0,214958.0,2031.0,30.0,258278.0,94.0,4840000.0
82.1,350584176.0,79228.0,26972646.0,68.0,452857.0,638.0,1056379.0,11627298.0,277256864.0,19.0,1239.0,1452.0,5.0,31145.0,19.0,776386.0
82.1,732652170.0,217189.0,35225322.0,72.0,2184804.0,264300.0,95344150.0,711702658.0,379789269.0,67.0,3965.0,443.0,10.0,74228.0,26.0,2095961.0
82.0,359416593.0,91114.0,29730236.0,64.0,2127918.0,4530098.0,885538360.0,10488403602.0,74794888.0,40.0,169548.0,7064.0,18.0,137293.0,52.0,3310069.0
81.5,406319778.0,42283.0,16439412.0,80.0,368256.0,117408.0,7626726.0,99492470.0,606650627.0,50.0,262596.0,145.0,2.0,2456.0,19.0,1185776.0
80.1,1668741024.0,174052.0,42966784.0,76.0,9554049.0,5371543.0,206785018.0,2733847243.0,2008056455.0,192.0,368635.0,784.0,106.0,1172519.0,44.0,13479680.0
80.1,626010147.0,185422.0,78359363.0,74.0,1277287.0,88909.0,20233025.0,368044894.0,877635000.0,132.0,253244.0,332.0,76.0,1468578.0,44.0,6257313.0
80.0,1606023895.0,225643.0,32822629.0,71.0,15653870.0,6047796.0,914937622.0,8742744684.0,529839674.0,115.0,168415.0,126.0,195.0,454460.0,4.0,12373665.0
79.9,1995511952.0,304456.0,63126296.0,80.0,2699016.0,415050.0,137726738.0,1154403769.0,327.0,285.0,3607.0,321.0,46.0,105227.0,27.0,15776388.0
79.9,1321878145.0,189487.0,51228803.0,78.0,8470860.0,570442.0,358879639.0,2295813182.0,1152917073.0,199.0,82181.0,275.0,51.0,547449.0,50.0,4647622.0
79.8,1746790923.0,204049.0,117171040.0,79.0,13411706.0,2176881.0,17649503.0,137718139.0,276177209.0,356.0,119588.0,81.0,173.0,1609545.0,86.0,13444054.0
79.5,1178076574.0,137559.0,58323638.0,68.0,9851235.0,386741.0,15484682.0,146747450.0,300548195.0,182.0,36105.0,20.0,75.0,1424896.0,63.0,5865011.0
79.5,1885431727.0,241112.0,41330643.0,77.0,24201486.0,275009.0,36219008.0,300772720.0,160456727.0,66.0,16859.0,2.0,41.0,344324.0,15.0,3644968.0
78.3,1191635193.0,255697.0,78272032.0,70.0,4027102.0,777092.0,73955191.0,1435552956.0,462516169.0,362.0,277419.0,484.0,216.0,3941324.0,41.0,9642311.0
78.2,1349427877.0,220002.0,106549747.0,76.0,3884141.0,3646762.0,362781709.0,5118900832.0,49285616.0,357.0,386774.0,894.0,273.0,2339277.0,65.0,16283609.0
77.9,121234000.0,36468.0,76765385.0,42.0,806269.0,118600.0,20204903.0,395342206.0,303381336.0,48.0,90542.0,163.0,51.0,19833933.0,34.0,4890793.0
77.5,2306740926.0,333310.0,91689799.0,80.0,15819333.0,1064662.0,140355034.0,1174129136.0,297672687.0,178.0,9129.0,131.0,67.0,891934.0,30.0,17199384.0
77.3,77212437.0,4083.0,13850203.0,84.0,246884.0,472.0,301528.0,1423956.0,934654.0,52.0,238.0,2.0,12.0,1198375.0,32.0,39163.0
75.6,1439465700.0,169076.0,47204234.0,77.0,7820244.0,880567.0,188771287.0,1383885042.0,947613259.0,238.0,395572.0,776.0,65.0,1097172.0,38.0,5808069.0
74.9,1249760413.0,202465.0,56664631.0,79.0,6139127.0,1107358.0,252070540.0,2436202278.0,257447653.0,186.0,456661.0,1057.0,60.0,1734864.0,39.0,12188959.0
74.4,412845771.0,59749.0,11166198.0,73.0,1522549.0,203904.0,80427947.0,777869891.0,506206031.0,37.0,325922.0,84.0,4.0,2647.0,16.0,1315179.0
